project_id,state,district,work_category,project_description,sanctioned_amount_inr,implementing_agency,sanction_date,expected_completion_date,actual_completion_date,fraud_label,fraud_type
MPLAD-9A6C1B,Bihar,Patna,Solar Street Light,Supply and erection of 25 LED solar street lights at Patna Ward 10,69578.94,Contractor_5,2025-02-15,2025-06-25,2025-06-19,0,None
MPLAD-06B4B5,Uttar Pradesh,Agra,Road Repair,Asphalt resurfacing and repair of main road in Agra Zone 29,812658.24,Contractor_14,2025-11-09,2026-03-23,2026-03-28,0,None
MPLAD-01843F,Bihar,Aurangabad_BR,Solar Street Light,Fitting 50 solar powered street lamps in Aurangabad_BR Ward 16,82931.86,Contractor_18,2025-03-13,2025-07-25,,0,None
MPLAD-2D836D,Tamil Nadu,Chennai,Solar Street Light,Supply and erection of 30 LED solar street lights at Chennai Zone 33,69963.34,Contractor_13,2025-11-04,2026-04-27,,0,None
MPLAD-94B9E0,West Bengal,Darjeeling,School Boundary Wall,Construction of security compound wall around Zilla Parishad school in Darjeeling Zone 1,287732.52,Contractor_24,2025-01-28,2025-06-16,2025-06-16,0,None
MPLAD-437337,Rajasthan,Jodhpur,Drinking Water Plant,Construction of community drinking water facility and supply pipeline in Jodhpur Sector 2,463198.29,Contractor_38,2025-10-19,2026-03-27,2026-04-05,0,None
MPLAD-888245,Maharashtra,Thane,Solar Street Light,Electrification via 50 solar street lights across Thane Gram Panchayat 28,65275.87,Contractor_45,2025-04-21,2025-09-08,2025-09-13,0,None
MPLAD-A6B19A,Assam,Silchar,School Boundary Wall,Construction of protective compound boundary wall for ZP School in Silchar Ward 10,274945.67,Contractor_35,2025-10-02,2026-01-19,2026-01-13,0,None
MPLAD-201EA1,Bihar,Muzaffarpur,Drinking Water Plant,Boring and installation of RO drinking water plant in Muzaffarpur Sector 28,489073.15,Contractor_8,2025-11-21,2026-05-19,2026-05-11,0,None
MPLAD-E367E5,Tamil Nadu,Coimbatore,School Boundary Wall,Construction of protective compound boundary wall for ZP School in Coimbatore Gram Panchayat 23,306737.81,Contractor_34,2025-01-29,2025-05-14,2025-05-03,0,None
MPLAD-67AF79,Uttar Pradesh,Kanpur,Road Repair,Repair of internal road in Kanpur Sector 22,856597.42,Contractor_28,2025-05-13,2025-08-27,2025-08-20,0,None
MPLAD-F963AE,Bihar,Aurangabad_BR,Drinking Water Plant,Construction of community drinking water facility and supply pipeline in Aurangabad_BR Zone 11,502385.42,Contractor_24,2025-05-15,2025-10-10,2025-09-26,0,None
MPLAD-59DA47,Bihar,Gaya,Community Hall,Civil construction work of Samaj Mandir / Community Hall at Gaya Gram Panchayat 24,1402046.43,Contractor_25,2025-02-22,2025-07-27,2025-07-12,0,None
MPLAD-6BE6A3,Assam,Silchar,Community Hall,Civil construction work of Samaj Mandir / Community Hall at Silchar Block 18,7425846.98,Contractor_5,2025-01-19,2025-07-11,2025-07-06,1,Cost Inflation
MPLAD-C56EC3,Maharashtra,Nagpur,Road Repair,Paver block fixing and road repair work in Nagpur Gram Panchayat 19,774561.63,Contractor_50,2025-09-15,2026-01-11,2025-12-28,0,None
MPLAD-AABCAF,Jammu And Kashmir,Srinagar,Drinking Water Plant,Installation of clean drinking water filtration unit in Srinagar Zone 16,482730.09,Contractor_30,2025-10-11,2026-02-25,2026-02-28,0,None
MPLAD-FDF7D4,West Bengal,Tamluk,Drinking Water Plant,Boring and installation of RO drinking water plant in Tamluk Zone 23,509169.09,Contractor_41,2025-09-10,2025-12-28,2025-12-26,0,None
MPLAD-EBAC30,Rajasthan,Udaipur,Solar Street Light,Supply and erection of 25 LED solar street lights at Udaipur Gram Panchayat 4,84019.81,Contractor_10,2025-01-01,2025-04-06,2025-09-21,1,Delayed Completion
MPLAD-0D32B5,Assam,Dibrugarh,Drinking Water Plant,Construction of community drinking water facility and supply pipeline in Dibrugarh Sector 7,459302.66,Contractor_33,2025-04-29,2025-10-25,,0,None
MPLAD-EB3919,Bihar,Patna,Community Hall,Civil construction work of Samaj Mandir / Community Hall at Patna Block 21,1554886.27,Contractor_26,2025-07-21,2025-12-13,2025-12-02,0,None
MPLAD-7BEE16,West Bengal,Kolkata,Drinking Water Plant,Borewell drilling and installation of community water purification unit in Kolkata Ward 7,481805.77,Contractor_11,2025-05-20,2025-09-12,2025-09-21,0,None
MPLAD-2432D6,Bihar,Muzaffarpur,School Boundary Wall,Reconstruction of damaged perimeter boundary wall for primary school in Muzaffarpur Sector 6,297963.31,Contractor_11,2025-07-28,2025-11-21,2025-11-20,0,None
MPLAD-5802D5,Maharashtra,Nashik,Drinking Water Plant,Deep tube-well drilling and solar water purification plant setup at Nashik Gram Panchayat 33,532638.67,Contractor_4,2025-12-23,2026-05-03,2026-05-10,0,None
MPLAD-528105,Maharashtra,Aurangabad,Drinking Water Plant,Deep tube-well drilling and solar water purification plant setup at Aurangabad Gram Panchayat 7,476016.68,Contractor_9,2025-03-31,2025-08-25,2025-08-27,0,None
MPLAD-09BE17,Uttar Pradesh,Varanasi,Solar Street Light,Installation of 30 solar street lights in Varanasi Zone 17,65239.14,Contractor_5,2025-04-24,2025-09-12,2025-09-17,0,None
MPLAD-EFE1B3,Jammu And Kashmir,Srinagar,Solar Street Light,Fitting 10 solar powered street lamps in Srinagar Sector 30,84943.23,Contractor_4,2025-04-12,2025-07-22,,0,None
MPLAD-3F324F,Rajasthan,Jodhpur,Community Hall,Civil construction work of Samaj Mandir / Community Hall at Jodhpur Ward 12,1669652.69,Contractor_18,2025-08-10,2025-11-11,2025-11-09,0,None
MPLAD-9CA27B,Maharashtra,Nashik,Drinking Water Plant,Borewell drilling and installation of community water purification unit in Nashik Sector 6,494601.14,Contractor_18,2025-03-18,2025-09-06,2025-09-04,0,None
MPLAD-D5C244,Assam,Guwahati,School Boundary Wall,Construction of security compound wall around Zilla Parishad school in Guwahati Sector 25,278234.16,Contractor_46,2025-04-13,2025-09-30,,0,None
MPLAD-41724F,Karnataka,Belagavi,Drinking Water Plant,Deep tube-well drilling and solar water purification plant setup at Belagavi Block 15,497968.44,Contractor_2,2025-09-06,2026-02-07,2026-01-31,0,None
MPLAD-3EE574,Assam,Dibrugarh,Drinking Water Plant,Deep tube-well drilling and solar water purification plant setup at Dibrugarh Ward 16,455859.12,Contractor_18,2025-08-30,2026-02-10,,0,None
MPLAD-40F2B1,West Bengal,Darjeeling,Road Repair,Asphalt resurfacing and repair of main road in Darjeeling Ward 21,863257.03,Contractor_48,2025-01-29,2025-06-13,,0,None
MPLAD-909077,Karnataka,Belagavi,Drinking Water Plant,Construction of community drinking water facility and supply pipeline in Belagavi Block 12,541398.0,Contractor_32,2025-01-15,2025-06-26,2025-06-17,0,None
MPLAD-D69642,West Bengal,Kolkata,Solar Street Light,Electrification via 15 solar street lights across Kolkata Ward 22,66805.15,Contractor_46,2025-04-30,2025-10-04,2025-09-29,0,None
MPLAD-5A8891,Maharashtra,Thane,Community Hall,Construction of community hall in Thane Zone 24,1667512.31,Contractor_5,2025-06-15,2025-10-01,2025-09-20,0,None
MPLAD-3EC3CC,Rajasthan,Udaipur,Drinking Water Plant,Deep tube-well drilling and solar water purification plant setup at Udaipur Gram Panchayat 32,520453.8,Contractor_42,2025-12-06,2026-03-18,2026-03-13,0,None
MPLAD-DA26B5,Karnataka,Bengaluru Urban,Drinking Water Plant,Construction of community drinking water facility and supply pipeline in Bengaluru Urban Block 9,467420.27,Contractor_12,2025-10-15,2026-04-08,2026-03-29,0,None
MPLAD-2F06B6,Rajasthan,Udaipur,Solar Street Light,Electrification via 15 solar street lights across Udaipur Zone 7,83975.76,Contractor_32,2025-10-21,2026-01-23,2026-01-18,0,None
MPLAD-7E0DEE,West Bengal,Howrah,Community Hall,Development and construction of public community center in Howrah Sector 17,1432467.37,Contractor_14,2025-02-09,2025-06-19,2025-06-06,0,None
MPLAD-93E4B4,Tamil Nadu,Chennai,Community Hall,Renovation and expansion of community hall in Chennai Gram Panchayat 32,1577270.43,Contractor_25,2025-06-29,2025-09-27,2025-09-26,0,None
MPLAD-1B478D,Jammu And Kashmir,Jammu,Drinking Water Plant,Deep tube-well drilling and solar water purification plant setup at Jammu Sector 3,504602.4,Contractor_19,2025-02-21,2025-08-13,2025-08-05,0,None
MPLAD-00501A,Bihar,Muzaffarpur,Solar Street Light,Supply and erection of 40 LED solar street lights at Muzaffarpur Sector 6,71374.34,Contractor_22,2025-02-23,2025-06-14,,0,None
MPLAD-CEF9BC,Maharashtra,Aurangabad,Road Repair,Asphalt resurfacing and repair of main road in Aurangabad Sector 22,897055.22,Contractor_14,2025-09-05,2026-02-25,2026-02-23,0,None
MPLAD-FAB1F4,Assam,Dibrugarh,Community Hall,Construction of community hall in Dibrugarh Gram Panchayat 32,1463711.95,Contractor_10,2025-10-11,2026-04-03,2026-03-26,0,None
MPLAD-250D0F,Bihar,Muzaffarpur,Solar Street Light,Supply and erection of 10 LED solar street lights at Muzaffarpur Sector 14,72216.58,Contractor_11,2025-08-07,2026-01-28,2026-01-28,0,None
MPLAD-82B72A,Bihar,Muzaffarpur,Drinking Water Plant,Installation of clean drinking water filtration unit in Muzaffarpur Zone 25,2430308.51,Contractor_12,2025-08-31,2026-01-18,2026-01-24,1,Cost Inflation
MPLAD-4B0C4E,Uttar Pradesh,Agra,Drinking Water Plant,Installation of clean drinking water filtration unit in Agra Block 4,538549.27,Contractor_10,2025-07-09,2025-10-12,2025-10-11,0,None
MPLAD-7640C6,Assam,Dibrugarh,Solar Street Light,Setup of 50 high-mast solar illumination units in Dibrugarh Zone 27,66714.15,Contractor_35,2025-06-26,2025-12-08,2025-11-24,0,None
MPLAD-BE765F,Jammu And Kashmir,Baramulla,School Boundary Wall,Construction of protective compound boundary wall for ZP School in Baramulla Zone 34,1446641.71,Contractor_37,2025-05-01,2025-08-09,2025-08-16,1,Cost Inflation
MPLAD-BEE11A,Uttar Pradesh,Varanasi,Road Repair,Repair of internal road in Varanasi Sector 28,3395066.19,Contractor_13,2025-08-18,2025-12-13,2025-12-02,1,Cost Inflation
MPLAD-F69CEA,Karnataka,Belagavi,Community Hall,Renovation and expansion of community hall in Belagavi Block 18,1633643.25,Contractor_34,2025-05-13,2025-08-19,2025-08-21,0,None
MPLAD-666203,Assam,Dibrugarh,School Boundary Wall,Construction of security compound wall around Zilla Parishad school in Dibrugarh Zone 7,325029.71,Contractor_7,2025-01-07,2025-04-21,2025-04-10,0,None
MPLAD-D1AFB8,Assam,Dibrugarh,Road Repair,Paver block fixing and road repair work in Dibrugarh Zone 31,855908.94,Contractor_3,2025-05-27,2025-10-16,2025-10-21,0,None
MPLAD-DFC2C9,Rajasthan,Jaipur,Community Hall,Development and construction of public community center in Jaipur Ward 4,1410165.66,Contractor_48,2025-03-15,2025-08-02,,0,None
MPLAD-1FDBDC,Maharashtra,Mumbai Suburban,School Boundary Wall,Construction of protective compound boundary wall for ZP School in Mumbai Suburban Ward 9,325250.1,Contractor_20,2025-07-10,2025-11-15,2025-11-15,0,None
MPLAD-7E2232,Tamil Nadu,Trichy,School Boundary Wall,Fencing and perimeter boundary wall development for public school in Trichy Gram Panchayat 32,316441.85,Contractor_49,2025-06-14,2025-11-28,2025-11-19,0,None
MPLAD-6E7443,Assam,Guwahati,Road Repair,Paver block fixing and road repair work in Guwahati Zone 2,873437.79,Contractor_12,2025-01-29,2025-05-07,2025-05-08,0,None
MPLAD-733DD1,Maharashtra,Nashik,Community Hall,Civil construction work of Samaj Mandir / Community Hall at Nashik Block 30,1650072.22,Contractor_33,2025-04-13,2025-07-16,2025-07-12,0,None
MPLAD-4DDB5C,Maharashtra,Nashik,School Boundary Wall,"Erection of brick masonry boundary wall at Government High School, Nashik Gram Panchayat 23",308124.59,Contractor_23,2025-03-05,2025-07-20,2025-07-19,0,None
MPLAD-A641DB,Bihar,Muzaffarpur,Community Hall,Building multipurpose cultural community hall in Muzaffarpur Ward 15,1635061.51,Contractor_42,2025-05-13,2025-08-14,2025-08-04,0,None
MPLAD-FD20E6,Rajasthan,Udaipur,Community Hall,Construction of community hall in Udaipur Ward 12,1571078.1,Contractor_39,2025-05-18,2025-08-18,,0,None
MPLAD-B13CFD,Tamil Nadu,Madurai,Solar Street Light,Fitting 25 solar powered street lamps in Madurai Block 14,69475.4,Contractor_30,2025-11-08,2026-03-23,,1,Delayed Completion
MPLAD-F56105,Rajasthan,Udaipur,Drinking Water Plant,Installation of clean drinking water filtration unit in Udaipur Zone 19,517719.62,Contractor_20,2025-11-16,2026-02-27,2026-03-05,0,None
MPLAD-B8FA93,Tamil Nadu,Madurai,Solar Street Light,Fitting 15 solar powered street lamps in Madurai Ward 34,74634.77,Contractor_49,2025-06-22,2025-10-25,2025-11-01,0,None
MPLAD-58A4AD,Rajasthan,Udaipur,Community Hall,Construction of community hall in Udaipur Gram Panchayat 19,1659874.82,Contractor_17,2025-11-04,2026-03-14,2026-03-22,0,None
MPLAD-9B371A,West Bengal,Howrah,School Boundary Wall,Fencing and perimeter boundary wall development for public school in Howrah Block 33,294275.93,Contractor_20,2025-01-19,2025-05-17,2025-05-22,0,None
MPLAD-8B2E46,Uttar Pradesh,Kanpur,Community Hall,Development and construction of public community center in Kanpur Zone 12,1636255.48,Contractor_44,2025-10-13,2026-01-23,2026-01-31,0,None
MPLAD-2C1B06,Karnataka,Bengaluru Urban,Drinking Water Plant,Installation of clean drinking water filtration unit in Bengaluru Urban Zone 19,515443.46,Contractor_30,2025-04-24,2025-08-31,2025-08-26,0,None
MPLAD-92B40E,Bihar,Aurangabad_BR,Solar Street Light,Setup of 30 high-mast solar illumination units in Aurangabad_BR Block 27,74410.73,Contractor_4,2025-11-21,2026-03-15,2026-03-21,0,None
MPLAD-FA5117,Karnataka,Mysuru,Community Hall,Renovation and expansion of community hall in Mysuru Block 12,1354946.1,Contractor_50,2025-04-13,2025-09-22,,0,None
MPLAD-948FAB,Uttar Pradesh,Kanpur,Solar Street Light,Fitting 15 solar powered street lamps in Kanpur Ward 11,74751.62,Contractor_32,2025-11-20,2026-05-10,2026-05-09,0,None
MPLAD-F53852,Rajasthan,Jodhpur,Solar Street Light,Setup of 10 high-mast solar illumination units in Jodhpur Sector 35,67588.12,Contractor_13,2025-08-11,2026-01-02,,0,None
MPLAD-1CF844,Assam,Guwahati,Drinking Water Plant,Deep tube-well drilling and solar water purification plant setup at Guwahati Block 20,545006.86,Contractor_9,2025-06-14,2025-09-14,2025-09-19,0,None
MPLAD-C5543B,Tamil Nadu,Coimbatore,Solar Street Light,Fitting 25 solar powered street lamps in Coimbatore Zone 34,72671.01,Contractor_22,2025-10-29,2026-02-04,2026-01-29,0,None
MPLAD-44047A,Karnataka,Mysuru,School Boundary Wall,Fencing and perimeter boundary wall development for public school in Mysuru Ward 15,323278.44,Contractor_47,2025-03-10,2025-07-23,2025-07-13,0,None
MPLAD-7BC896,Assam,Guwahati,Community Hall,Construction of community hall in Guwahati Block 35,1384476.09,Contractor_40,2025-01-12,2025-04-27,2025-05-02,0,None
MPLAD-D25538,Bihar,Patna,Solar Street Light,Setup of 25 high-mast solar illumination units in Patna Sector 17,76878.48,Contractor_31,2025-01-25,2025-05-01,2025-04-29,0,None
MPLAD-9E551B,Maharashtra,Palghar,Community Hall,Building multipurpose cultural community hall in Palghar Zone 9,1382197.97,Contractor_27,2025-12-18,2026-05-10,2026-05-16,0,None
MPLAD-827510,Bihar,Muzaffarpur,Solar Street Light,Supply and erection of 30 LED solar street lights at Muzaffarpur Ward 17,75231.7,Contractor_34,2025-11-13,2026-02-25,2026-02-25,0,None
MPLAD-B5A015,Tamil Nadu,Coimbatore,Community Hall,Renovation and expansion of community hall in Coimbatore Ward 1,1443168.73,Contractor_1,2025-07-29,2025-11-01,2025-10-23,0,None
MPLAD-8DBDDF,Jammu And Kashmir,Srinagar,Solar Street Light,Installation of 20 solar street lights in Srinagar Ward 30,83137.6,Contractor_19,2025-10-21,2026-01-30,2026-01-17,0,None
MPLAD-A86AE7,Uttar Pradesh,Lucknow,Drinking Water Plant,Installation of clean drinking water filtration unit in Lucknow Sector 7,2070365.89,Contractor_49,2025-02-21,2025-06-28,2025-07-04,1,Cost Inflation
MPLAD-F08D5D,Uttar Pradesh,Kanpur,Solar Street Light,Electrification via 20 solar street lights across Kanpur Sector 24,65193.45,Contractor_22,2025-03-12,2025-07-25,,0,None
MPLAD-18C95C,Jammu And Kashmir,Baramulla,Community Hall,Renovation and expansion of community hall in Baramulla Ward 8,1345532.8,Contractor_9,2025-07-24,2025-12-10,2025-12-10,0,None
MPLAD-37E6C7,Bihar,Aurangabad_BR,Solar Street Light,Setup of 15 high-mast solar illumination units in Aurangabad_BR Zone 25,261461.0,Contractor_50,2025-03-23,2025-09-04,2025-09-07,1,Cost Inflation
MPLAD-287BBA,Uttar Pradesh,Agra,Drinking Water Plant,Construction of community drinking water facility and supply pipeline in Agra Sector 17,511135.84,Contractor_42,2025-12-17,2026-05-18,2026-05-16,0,None
MPLAD-F4A07F,Assam,Silchar,Drinking Water Plant,Installation of clean drinking water filtration unit in Silchar Zone 7,451236.02,Contractor_28,2025-12-14,2026-05-26,2026-05-18,0,None
MPLAD-64A6D0,Rajasthan,Jaipur,Community Hall,Building multipurpose cultural community hall in Jaipur Sector 11,1492771.87,Contractor_33,2025-12-06,2026-05-16,,0,None
MPLAD-FA1E7B,Bihar,Aurangabad_BR,School Boundary Wall,Construction of protective compound boundary wall for ZP School in Aurangabad_BR Ward 25,321112.27,Contractor_26,2025-03-26,2025-08-23,,1,Delayed Completion
MPLAD-BE5EE5,Jammu And Kashmir,Srinagar,Community Hall,Renovation and expansion of community hall in Srinagar Sector 7,1331532.24,Contractor_26,2025-08-16,2026-01-16,2026-01-04,0,None
MPLAD-5A3F45,Maharashtra,Pune,School Boundary Wall,Reconstruction of damaged perimeter boundary wall for primary school in Pune Zone 14,272149.92,Contractor_42,2025-10-09,2026-03-25,,0,None
MPLAD-FE70DB,Maharashtra,Nashik,School Boundary Wall,Construction of security compound wall around Zilla Parishad school in Nashik Gram Panchayat 24,1485059.3,Contractor_46,2025-07-06,2025-12-01,2025-12-10,1,Cost Inflation
MPLAD-DA65D3,West Bengal,Kolkata,School Boundary Wall,Reconstruction of damaged perimeter boundary wall for primary school in Kolkata Zone 24,276841.4,Contractor_45,2025-12-04,2026-04-16,2026-04-21,0,None
MPLAD-471CF0,Jammu And Kashmir,Srinagar,Solar Street Light,Supply and erection of 15 LED solar street lights at Srinagar Sector 26,65915.56,Contractor_14,2025-03-26,2025-08-15,2025-08-19,0,None
MPLAD-EE5A9B,Karnataka,Bengaluru Urban,School Boundary Wall,Construction of security compound wall around Zilla Parishad school in Bengaluru Urban Gram Panchayat 30,319473.25,Contractor_43,2025-04-08,2025-08-29,2025-09-03,0,None
MPLAD-441BBE,Jammu And Kashmir,Srinagar,Road Repair,Paver block fixing and road repair work in Srinagar Zone 31,891238.06,Contractor_33,2025-03-10,2025-08-14,2025-08-16,0,None
MPLAD-DADD2D,Uttar Pradesh,Lucknow,Community Hall,Development and construction of public community center in Lucknow Gram Panchayat 27,1576727.09,Contractor_39,2025-03-30,2025-08-16,2025-08-20,0,None
MPLAD-BB5B7A,Tamil Nadu,Trichy,Community Hall,Building multipurpose cultural community hall in Trichy Zone 21,1409438.35,Contractor_46,2025-06-25,2025-10-10,2025-10-14,0,None
MPLAD-72209A,West Bengal,Howrah,Road Repair,Asphalt resurfacing and repair of main road in Howrah Ward 33,826516.66,Contractor_35,2025-04-13,2025-10-07,2025-10-13,0,None
MPLAD-40C7AF,Assam,Dibrugarh,Drinking Water Plant,Construction of community drinking water facility and supply pipeline in Dibrugarh Zone 19,521035.27,Contractor_28,2025-06-30,2025-12-11,2025-12-17,0,None
MPLAD-A0C2AE,Rajasthan,Jaipur,Solar Street Light,Fitting 50 solar powered street lamps in Jaipur Ward 19,75454.6,Contractor_44,2025-01-13,2025-04-19,2025-04-10,0,None
MPLAD-42358B,Tamil Nadu,Coimbatore,Drinking Water Plant,Boring and installation of RO drinking water plant in Coimbatore Zone 15,464642.84,Contractor_48,2025-02-01,2025-07-10,2025-07-09,0,None
MPLAD-742FBD,Tamil Nadu,Chennai,Road Repair,Concreting and repair of internal village road at Chennai Sector 1,777777.33,Contractor_48,2025-09-19,2026-02-04,2026-02-14,0,None
MPLAD-D1AC5F,West Bengal,Howrah,Drinking Water Plant,Deep tube-well drilling and solar water purification plant setup at Howrah Ward 19,470308.72,Contractor_29,2025-08-15,2025-12-13,,1,Delayed Completion
MPLAD-A8F62A,Uttar Pradesh,Varanasi,Community Hall,Renovation and expansion of community hall in Varanasi Zone 17,1693381.33,Contractor_9,2025-02-08,2025-07-13,2025-06-29,0,None
MPLAD-2C2001,Maharashtra,Mumbai Suburban,Community Hall,Construction of community hall in Mumbai Suburban Block 4,1533594.42,Contractor_50,2025-05-11,2025-10-07,2025-09-26,0,None
MPLAD-71D94A,Jammu And Kashmir,Jammu,Road Repair,Concreting and repair of internal village road at Jammu Ward 12,868628.0,Contractor_34,2025-06-04,2025-11-11,2025-11-21,0,None
MPLAD-D41C5B,Rajasthan,Udaipur,Solar Street Light,Supply and erection of 15 LED solar street lights at Udaipur Block 22,80725.16,Contractor_24,2025-03-23,2025-08-28,2025-08-24,0,None
MPLAD-7090C1,Assam,Dibrugarh,Drinking Water Plant,Boring and installation of RO drinking water plant in Dibrugarh Block 29,471844.53,Contractor_16,2025-11-13,2026-04-23,2026-04-28,0,None
MPLAD-3A01F1,Maharashtra,Mumbai Suburban,Road Repair,Repair of internal road in Mumbai Suburban Block 35,883721.46,Contractor_47,2025-05-05,2025-09-20,,0,None
MPLAD-CC4B09,Karnataka,Belagavi,Drinking Water Plant,Installation of clean drinking water filtration unit in Belagavi Ward 21,452470.57,Contractor_33,2025-09-22,2026-02-24,2026-02-10,0,None
MPLAD-B611D3,Assam,Silchar,Solar Street Light,Supply and erection of 50 LED solar street lights at Silchar Gram Panchayat 7,83964.24,Contractor_14,2025-03-27,2025-06-25,2025-06-16,0,None
MPLAD-AD273D,Bihar,Gaya,Road Repair,Repair of internal road in Gaya Sector 4,865749.73,Contractor_12,2025-08-11,2025-11-12,2025-11-07,0,None
MPLAD-B373ED,West Bengal,Howrah,Drinking Water Plant,Construction of community drinking water facility and supply pipeline in Howrah Block 2,505808.42,Contractor_25,2025-10-22,2026-03-13,2026-03-18,0,None
MPLAD-FE5845,Bihar,Patna,Solar Street Light,Electrification via 10 solar street lights across Patna Block 20,75696.69,Contractor_39,2025-11-25,2026-05-23,2026-05-19,0,None
MPLAD-844CD0,Rajasthan,Jodhpur,Solar Street Light,Electrification via 15 solar street lights across Jodhpur Ward 26,70630.35,Contractor_35,2025-08-13,2026-02-03,2026-01-24,0,None
MPLAD-EB7516,Tamil Nadu,Madurai,Drinking Water Plant,Deep tube-well drilling and solar water purification plant setup at Madurai Sector 1,546013.43,Contractor_37,2025-03-15,2025-06-14,2025-06-16,0,None
MPLAD-4B5661,Bihar,Muzaffarpur,Road Repair,Concreting and repair of internal village road at Muzaffarpur Gram Panchayat 33,778816.34,Contractor_10,2025-10-08,2026-02-01,2026-02-09,0,None
MPLAD-A91BC7,Tamil Nadu,Coimbatore,Community Hall,Building multipurpose cultural community hall in Coimbatore Sector 30,1373597.09,Contractor_42,2025-11-12,2026-02-24,2026-03-06,0,None
MPLAD-C69F02,Bihar,Muzaffarpur,Road Repair,Paver block fixing and road repair work in Muzaffarpur Block 9,714628.91,Contractor_43,2025-12-10,2026-03-22,2026-03-25,0,None
MPLAD-A90D23,Bihar,Gaya,Community Hall,Building multipurpose cultural community hall in Gaya Block 10,1340018.02,Contractor_37,2025-11-14,2026-03-24,2026-03-19,0,None
MPLAD-870641,Rajasthan,Jaipur,Road Repair,Asphalt resurfacing and repair of main road in Jaipur Gram Panchayat 18,772898.69,Contractor_24,2025-06-11,2025-09-09,2025-09-19,0,None
MPLAD-2519FF,Jammu And Kashmir,Baramulla,Community Hall,Renovation and expansion of community hall in Baramulla Sector 12,1571832.07,Contractor_42,2025-06-19,2025-11-13,2025-11-07,0,None
MPLAD-5366F8,Uttar Pradesh,Varanasi,Road Repair,Repair of internal road in Varanasi Sector 2,716394.74,Contractor_33,2025-05-24,2025-09-24,2025-09-29,0,None
MPLAD-0502DA,Rajasthan,Udaipur,Solar Street Light,Electrification via 20 solar street lights across Udaipur Zone 35,81252.85,Contractor_31,2025-10-24,2026-02-18,,0,None
MPLAD-DCB491,Tamil Nadu,Coimbatore,Community Hall,Renovation and expansion of community hall in Coimbatore Zone 1,1446327.45,Contractor_43,2025-04-25,2025-09-21,2025-09-08,0,None
MPLAD-F3B6AE,Uttar Pradesh,Varanasi,Community Hall,Building multipurpose cultural community hall in Varanasi Ward 31,1639192.74,Contractor_23,2025-11-11,2026-04-07,2026-04-10,0,None
MPLAD-EAC58D,West Bengal,Kolkata,Solar Street Light,Supply and erection of 30 LED solar street lights at Kolkata Block 25,69376.38,Contractor_31,2025-09-07,2026-01-08,2025-12-25,0,None
MPLAD-227F51,Karnataka,Bengaluru Urban,School Boundary Wall,Reconstruction of damaged perimeter boundary wall for primary school in Bengaluru Urban Block 35,322893.12,Contractor_37,2025-01-21,2025-07-20,,0,None
MPLAD-BB3A65,Karnataka,Belagavi,Community Hall,Construction of community hall in Belagavi Block 25,1450663.83,Contractor_15,2025-07-13,2026-01-02,,0,None
MPLAD-C9C137,Jammu And Kashmir,Baramulla,Road Repair,Paver block fixing and road repair work in Baramulla Ward 5,781168.44,Contractor_33,2025-06-26,2025-12-10,2025-11-29,0,None
MPLAD-253B33,Uttar Pradesh,Kanpur,Drinking Water Plant,Deep tube-well drilling and solar water purification plant setup at Kanpur Block 8,471151.71,Contractor_31,2025-04-06,2025-09-20,2025-09-08,0,None
MPLAD-C0A364,Uttar Pradesh,Agra,School Boundary Wall,Construction of security compound wall around Zilla Parishad school in Agra Ward 9,298741.27,Contractor_41,2025-10-30,2026-01-30,2026-01-19,0,None
MPLAD-855EC6,Uttar Pradesh,Lucknow,Road Repair,Bituminous macadam road repair and pothole filling in Lucknow Zone 2,707838.17,Contractor_47,2025-10-21,2026-02-09,2026-01-30,0,None
MPLAD-D0B6FA,Jammu And Kashmir,Jammu,Drinking Water Plant,Deep tube-well drilling and solar water purification plant setup at Jammu Gram Panchayat 10,544725.39,Contractor_38,2025-04-21,2025-09-18,,0,None
MPLAD-4FB455,Tamil Nadu,Coimbatore,Community Hall,Building multipurpose cultural community hall in Coimbatore Sector 15,1549284.7,Contractor_25,2025-09-19,2026-03-15,2026-03-14,0,None
MPLAD-A23FE2,West Bengal,Darjeeling,School Boundary Wall,Fencing and perimeter boundary wall development for public school in Darjeeling Zone 3,277932.79,Contractor_35,2025-01-09,2025-04-28,2025-04-18,0,None
MPLAD-87F860,Jammu And Kashmir,Jammu,Road Repair,Bituminous macadam road repair and pothole filling in Jammu Sector 28,850476.63,Contractor_34,2025-02-17,2025-06-03,,0,None
MPLAD-9D39DE,Assam,Dibrugarh,School Boundary Wall,Fencing and perimeter boundary wall development for public school in Dibrugarh Gram Panchayat 23,292222.65,Contractor_38,2025-01-23,2025-05-22,,0,None
MPLAD-F1ADB5,Tamil Nadu,Trichy,Road Repair,Repair of internal road in Trichy Zone 35,719543.38,Contractor_27,2025-03-10,2025-07-02,2025-12-28,1,Delayed Completion
MPLAD-1DC3ED,Maharashtra,Pune,Drinking Water Plant,Deep tube-well drilling and solar water purification plant setup at Pune Block 27,468902.1,Contractor_24,2025-12-30,2026-06-04,2026-06-09,0,None
MPLAD-7B068A,Tamil Nadu,Madurai,Solar Street Light,Electrification via 20 solar street lights across Madurai Gram Panchayat 14,68095.57,Contractor_27,2025-11-30,2026-05-07,2026-05-03,0,None
